ID;First Author;Year;familia;elegivel;Outcome;Predictor Timing;3 Most Important Features;rotulo_proposto;termos_top3;termos_preditores;antropometria_top3;antropometria_preditores;antro_crianca_qualquer;rotulo_IVS;leakage_IVS;obs_IVS
AA_07;Chen (Kening Chen);2025;obesity;True;obesity;"cross-sectional (predictors and outcome collected at the same survey; fetal/early-life factors reported retrospectively by parents via questionnaire)";"age; fast food intake frequency; maternal BMI";classificacao diagnostica (nowcasting);;;False;False;True;;;
AA_24;Berrouyne;2024;obesity;True;obesity;"cross-sectional; predictors measured at the same survey as the outcome (some, e.g. birth weight and breastfeeding, refer retrospectively to earlier life)";"region 11 (Laayoune-Sakia El Hamra); region 5 (Beni Mellal-Khenifra); partner education level (preparatory/middle, partner_educ_level_3)";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_31;Pang;2021;obesity;True;Obesity incidence (age >2 to <=7 years);"before the outcome (longitudinal): predictors from EHR data from birth to age <=2 years; outcome ascertained from age >2 to <=7 years";"weight-for-height at 18-24 months; weight at 18-24 months; weight-for-height at 12-18 months";predicao prospectiva;weight;bmi, weight;True;True;True;;;
AA_44;Campbell;2024;obesity;True;obesity (incidence);"before or at the outcome (temporal condition patterns from the pre-index visit and the index visit, i.e., the first visit with an obese BMI); demographics at index visit";"race_3 (White race); 2-MUS01 (musculoskeletal signs and symptoms, index visit); 1-ALL04 (asthma, pre-index visit)";misto (conferir);;;False;False;False;;;
AA_50;Zare;2021;obesity;True;obesity (4th grade);"before the outcome (longitudinal): all predictors measured at/around kindergarten; outcome measured in 4th grade (~4 years later)";"kindergarten BMI z-score; median home value; vacant housing units";predicao prospectiva;bmi;bmi;True;True;True;;;
AA_63;Fayyaz;2024;obesity;True;obesity;before the outcome (longitudinal EHR observation windows from ages 0-2 up to 0-7 years used to predict obesity 1, 2, and 3 years later);NR;predicao prospectiva;;;False;False;False;;;
AA_07;Chen (Kening Chen);2025;overweight;True;overweight;"cross-sectional (predictors and outcome collected at the same survey; fetal/early-life factors reported retrospectively by parents via questionnaire)";"age; fast food intake frequency; maternal BMI";classificacao diagnostica (nowcasting);;;False;False;True;;;
AA_24;Berrouyne;2024;overweight;True;overweight;"cross-sectional; predictors measured at the same survey as the outcome (some, e.g. birth weight and breastfeeding, refer retrospectively to earlier life)";"birth weight (normal, birth_weight_3); region 11 (Laayoune-Sakia El Hamra); region 5 (Beni Mellal-Khenifra)";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_06;Kupek;2024;overweight/obesity (combinado);True;overweight/obesity;concurrent — diet and anthropometry assessed at the same survey occasions (repeated cross-sectional measurements within a longitudinal 2013-2015 study);"cereals at lunch (late breakfast); milk at lunch (late breakfast); green leaves after dinner (late dinner)";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_01;Berrouyne;2024;stunting;True;stunting;same moment as outcome (cross-sectional survey);"rural residence (area); region; child gender";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_02;Anku;2024;stunting;True;stunting;same moment as outcome (cross-sectional survey);"child age; child length/height; child sex (female)";classificacao diagnostica (nowcasting);height, length;height, length;True;True;True;;;
AA_03;Janawisuta;2024;stunting;True;stunting;"cross-sectional; predictors measured at the same time as the outcome (August 2022 measurements)";NR;classificacao diagnostica (nowcasting);;height;False;True;True;;;
AA_04;Kanz;2024;stunting;True;stunting (nutritional status, 4 classes: normal, severely stunted, tall, stunted);cross-sectional (predictors and outcome from the same dataset record);"height; age; gender";classificacao diagnostica (nowcasting);height;height;True;True;True;;;
AA_05;Rahman, S. M. Jubaidur;2021;stunting;True;stunting;same time as outcome (cross-sectional survey);NR;classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_13;Hariguna;2024;stunting;True;stunting (multiclass nutritional status: severely stunted, stunted, normal, tall);cross-sectional (predictors and nutritional status label from the same record);"height; age; gender";classificacao diagnostica (nowcasting);height;height;True;True;True;;;
AA_16;Fogarty;2025;stunting;True;stunting;"cross-sectional; predictors measured at the same survey visit as the outcome";"SES (household socioeconomic status); state (pooled effect of Mexican states); child's age";classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_19;Pramana (A.A.G. Yogi Pramana);2024;stunting;True;stunting;"same moment as outcome (cross-sectional); outcome label derived from the same height/age measurements";NR;classificacao diagnostica (nowcasting);;height, height-for-age;False;True;True;;;
AA_22;Prabiantissa;2024;stunting;True;stunting (3-class: normal / stunted / severely stunted);"cross-sectional (predictors from same health service records as the outcome; birth weight/height are historical record values)";"birth height; weight by age; upper arm circumference";classificacao diagnostica (nowcasting);;height;False;True;True;;;
AA_23;Shevaldo;2024;stunting;True;stunting (3-class: normal / short / very short);"same time as outcome (cross-sectional; single measurement in August 2024)";NR;classificacao diagnostica (nowcasting);;height;False;True;True;;;
AA_26;Muhammad Ghiyaats Daffa;2024;stunting;True;stunting;cross-sectional (predictors measured at the same time as the outcome, same August 2022 measurement);NR;classificacao diagnostica (nowcasting);;height;False;True;True;;;
AA_28;Khoirunnisa;2024;stunting;True;stunting;"cross-sectional (predictors measured at the same time as the outcome; several predictors are anthropometric indices derived from the same measurement session as the Height/Age outcome)";NR;classificacao diagnostica (nowcasting);;height;False;True;True;;;
AA_35;Fannany;2024;stunting;True;stunting;same time as outcome (cross-sectional health center records);NR;classificacao diagnostica (nowcasting);;height;False;True;True;;;
AA_36;Erda;2024;stunting;True;stunting (multiclass: Severely Stunting / Stunting / Normal);cross-sectional (predictors and outcome measured at the same survey wave);NR;classificacao diagnostica (nowcasting);;;False;False;False;;;
AA_37;Kani;2024;stunting;True;stunting;"cross-sectional; predictors measured at the same time as the outcome (same measurement record)";NR;classificacao diagnostica (nowcasting);;height;False;True;True;;;
AA_39;Elnanda;2025;stunting;True;stunting;"cross-sectional (current height/weight measured at same time as outcome label, which is itself derived from height/age); birth weight and birth height precede the outcome";NR;classificacao diagnostica (nowcasting);;height;False;True;True;;;
AA_40;Abdurrahman;2025;stunting;True;stunting;same moment as outcome (cross-sectional measurement records);"TB/U (height-for-age z-score); height; weight";classificacao diagnostica (nowcasting);height, height-for-age, tb/u;height;True;True;True;;;
AA_41;Alita;2024;stunting;True;stunted;"same moment as outcome (cross-sectional; outcome label derived from the same anthropometric record)";NR;classificacao diagnostica (nowcasting);;height;False;True;True;;;
AA_45;Tamanna;2025;stunting;True;stunting;same moment as outcome (cross-sectional survey);"wealth index; mother's education; place of delivery";classificacao diagnostica (nowcasting);;;False;False;True;;;
AA_46;Hakimah;2022;stunting;True;stunting;"Mixed/cross-sectional: most predictors measured at the same checkup as the outcome (age, W/A, W/H, UAC); birth weight and birth height refer to birth, but all recorded in the same cross-sectional checkup dataset.";"weight according to age (W/A); upper arm circumference (UAC); birth weight (BW)";misto (conferir);;height;False;True;True;;;
AA_47;Sasmita;2023;stunting;True;malnutrition (stunting, height-for-age);"cross-sectional; predictors measured at the same time as the outcome. Several predictors (H/Age, ZS H/Age) are the same height-for-age index used to define the outcome (leakage risk).";NR;classificacao diagnostica (nowcasting);;height, height-for-age;False;True;True;;;
AA_54;Azriani;2025;stunting;True;stunting;"Mixed/concurrent: predictors represent characteristics at or around birth (model intended for use in newborns), but were collected in the same IFLS survey waves as the outcome (child aged 2 years); raw IFLS data had 54 variables, 23 selected as predictors.";"mother's height; father's height; level of father's education";misto (conferir);;height;False;True;True;;;
