ID;tipo;severidade;o_que;linha_planilha;evidencia;explicacao;decisao_IVS
AA_01;faltando na planilha;baixa;preditor 'quality_food' (qualidade da alimentacao), presente entre as variaveis usadas nos modelos mas ausente da lista de Predictor Types da planilha;;"Fig. 2 (determinantes de wasting), p.6 — barra rotulada 'quality_food' entre as ~15 primeiras; texto de apoio em Results III.C, p.5 ('Poor quality food impacts waste')";;
AA_10;faltando na planilha;media;quinto modelo 'SVM Using GSCV' (SVM tunado por GridSearchCV), presente nas duas figuras de resultado;;Fig. 2 (p.3, eixo x: RF, LR, SVM Using GSCV, SVM, KNN, barra verde ~77) e Fig. 3 (p.3, eixo x: LR, RF, SVM Using GSCV, SVM, KNN, barra verde ~0,825);;
AA_13;faltando na planilha;media;"Metricas do proprio conjunto de teste do artigo para o CatBoost: classification report com precision/recall/f1 por classe (0.97/0.90/0.93; 0.98/0.96/0.97; 0.93/0.98/0.95; 0.95/0.98/0.97), supports 194/184/209/213, accuracy 0.96 e macro/weighted avg 0.96";;Fig. 6, p.9 do PDF (p.2183);;
AA_13;faltando na planilha;baixa;13 classificadores adicionais listados como avaliados (Logistic Regression, KNN, SVC, Decision Tree, AdaBoost, GaussianNB, MLP, LDA, QDA, Ridge, Perceptron, Gradient Boosting, SGD);;"Secao 3.4, p.9 - lista dos 18 modelos avaliados; Table 7, p.9 traz metricas apenas para 5";;
AA_13;faltando na planilha;baixa;Tarefa de regressao (predicao de 'Height (cm)'), melhor modelo LGBM Regressor com R2 0.970-0.9719, MAE 2.10, validada por KFold;;"Secao 3.3 e Tables 4-6, p.6-7; Secao 3.3 texto, p.9";;
AA_23;faltando na planilha;baixa;percentuais por classe no dataset real, antes do balanceamento (normal 98,1%, short 1,1%, very short 0,8%), que permitem estimar aproximadamente 83 short e 60 very short em 7.507 registros;;"Fig. 4 'Comparison before balancing', p.4 (legenda com os tres percentuais); texto correspondente na p.4 da so a razao agregada 98,1:1,9";;
AA_41;faltando na planilha;baixa;as classes 'normal' e 'tall' do desfecho multiclasse (precision/recall reportados para as 4 classes);;"Table III, p.5 — Normal 77.95 / 99.18%; Tall 98.84 / 61.25%";;
AA_47;faltando na planilha;baixa;Segunda inconsistencia interna do artigo nao registrada: a Table III lista apenas 12 features (Age, Weight, Birth Height, Weight, Height, LiLA, W/Age, ZS W/Age, H/Age, ZS H/Age, Weight Gain, ZS W/H) — a variavel 'Gender' da Table I e da Fig. 1 esta ausente da Table III. Isso explica mecanicamente a divergencia Table III (5) vs Fig. 3b (6) para SA=20 que a planilha ja anotou.;;"Table III, p.6 (12 linhas) vs Table I, p.3 (13 features + Category) e Fig. 1, p.5 (heatmap com 13 rotulos, incluindo Gender); Table II, p.5 'Number of Dimensions = 13'";;
AA_55;faltando na planilha;baixa;painel de um oitavo algoritmo, Decision Tree, ajustado para stunting e para wasting;;"Fig. 5, p.10 - os paineis por modelo sao Random Forest, Gradient Boosting, Decision Tree, Logistic Regression e KNN (para cada desfecho); o texto da Section 3.3, p.9 cita explicitamente 'Gradient Boosting and Decision-Tree panels'";;
AA_55;faltando na planilha;baixa;contradicao entre o texto de importancia de variaveis e a Fig. 5 no caso de wasting (nao anotada nas Notes, ao contrario das contradicoes ROC x tabela, que foram anotadas);;"Section 3.3, p.10 - 'MAHFP climbs markedly, entering the top two positions in Random Forest, Gradient Boosting and XGBoost'; na Fig. 5, p.10, MAHFP e a ULTIMA variavel do painel Random Forest-wasting e a 7a no painel Gradient Boosting-wasting. Fig. 6, p.11 (rank medio wasting) tambem coloca MAHFP em ~8o, e nao em 2o como diz o texto da p.11";;
AA_57;faltando na planilha;media;"AUCs por classe da curva ROC, que contradizem a linha 'Roc curve' da Tabela 3 usada pela planilha: Random Forest 0.997/0.999/0.998; AdaBoost 0.985/0.998/0.992; XGBoost 0.968/0.996/0.978; CatBoost 0.978/0.997/0.986 (classes 0/1/2)";;"Figura de curva ROC na p.7 - titulo do grafico 'Receiver Operating Characteristic (ROC) Curve for Multiclass Classification', legenda com os 12 AUCs; a legenda da figura esta trocada no artigo ('Fig. 2. Training time comparison')";;
AA_57;faltando na planilha;baixa;"Matriz de confusao do Random Forest no teste (linhas = verdadeiro): Severe 2176/23/34; Moderate 32/2200/1; Normal 39/7/2187, total 6.699 - permite recall por classe (Severe 0,974; Moderate 0,985; Normal 0,979) e mostra teste perfeitamente balanceado (2.233 por classe)";;"Figura na p.8, titulo do grafico 'Confusion matrix for stunting status for children under five' (legendada por engano como 'Fig. 3. ROC curve comparison'); numeros tambem citados no texto, Results p.7";;
AA_57;faltando na planilha;media;Aviso de que Precision e Recall registrados sao medias multiclasse (macro/ponderada) sobre 3 classes, nao sensibilidade/VPP de um desfecho binario 'stunted vs nao stunted';;"Desfecho de 3 classes (Methods p.3); matriz de confusao 3x3 p.8; Accuracy = Recall = 97.985% para RF na Table 3 p.6, padrao tipico de media ponderada em conjunto balanceado";;
AA_63;faltando na planilha;baixa;Tarefa de regressao do valor exato de BMI futuro, modelada pela mesma rede (parte inferior da Tabela 1: MAE 0.74-1.92, com intervalos por conformal prediction);;"Table 1 (parte 'Exact BMI Value (Regression)'), p.8; Sec. 4.1, p.7 ('predict the risk of obesity as well as BMI in the next three years')";;
AA_63;faltando na planilha;baixa;"AUROCs por subgrupo com N por subgrupo (Figura 5): ultimo WFL antes dos 2 anos 0.665-0.706; raca 0.754-0.792; etnia 0.784-0.794; sexo 0.795-0.796; pagador 0.792-0.80 — faixa 0.665-0.80, bem abaixo do headline 0.87-0.93";;Figure 5, p.14 (leitura visual);;
